,위치,평균나이,세대원1명,세대원2명,세대원3명이상,1인가구,2인가구,3인이상가구,외국인인구,비혈연6인이상가구인구,집단가구인구,총인구,인구_15세미만,15~19세,20대,30대,40대,50대,60대,운전자,면허소지자_15~19세,면허소지자_20대,면허소지자_30대,면허소지자_40대,면허소지자_50대,면허소지자_60대,면허소지자_70대
386,0.8052083413933,-0.7671572175734445,-1.9605553448287272,-1.7737462104196402,-0.7925274891167672,-1.9506334889455976,-1.842181584715649,-0.27410620829343135,-0.10822116350805494,0.5369114282689095,-1.4725968797732767,-1.4605154950439057,-1.4207497520774437,-1.7171550045247432,-1.7935245964123168,-1.864780591742446,-1.8032201920254765,-1.4605696903784584,-1.4207473558052228,-1.7171535620785792,-1.793524596412317,-1.864780591742446,-1.8418934232052413,-1.682510482032305,-1.6114974975425669,-1.553253702508388,2.8249034073398183
387,2.0736769899192438,-1.0200960806416315,-1.887523486081643,-1.720290139805009,-1.0480201718909872,-1.864704283822176,-1.7822597204022315,0.25393006446309696,-0.38367352965562057,-0.5033020287627067,-1.4484200332501145,-1.4650701864022744,-1.7257493925942404,-1.8332954178493226,-1.779802121483155,-1.774010333519037,-1.692138679506181,-1.4650211103663857,-1.7257483369580247,-1.8332962628615495,-1.7798021214831552,-1.774010333519037,-1.6409232340271362,-1.6915262129409072,-1.605243021049694,-1.7240618304947846,2.8249034073398183
388,1.5980012467220148,-0.9275574722020509,-1.4589983149038994,-1.4260004036844594,-0.9442114566265082,-1.5241312147354438,-1.4320367852888591,0.6037437333850043,-0.17708425504494635,-0.5033020287627067,-1.3198272408732945,-1.1936105814435032,-1.4002507945681681,-1.601014591200164,-1.5126712761954726,-1.2432712942598094,-1.3354096784135603,-1.1934844911028115,-1.400248478597166,-1.6010177873317935,-1.5126712761954728,-1.2432712942598094,-1.3116933407458662,-1.2927251100598043,-1.2925191964060425,-1.6565584583145605,2.8249034073398183
389,0.5198028954749608,-1.3158567311446048,-1.7317937872827136,-1.3888625019942944,-1.2641698255923681,-1.7316188075944376,-1.441345036055992,-0.3644609237258671,-0.7279889873400777,-0.5033020287627067,-1.184226666895558,-1.220938729593715,-1.519828046705609,-1.5732557561473115,-1.577624324193505,-1.6127596394986277,-1.6587907412868577,-1.2209349143616974,-1.5198299105823065,-1.573258234303101,-1.5776243241935053,-1.6127596394986279,-1.6116781531279725,-1.6652698738035738,-1.5470618443718052,-1.577850072938429,2.8249034073398183
390,0.012415436064585094,-0.9246543001725738,-1.2227187718986272,-0.8869381336969133,-0.9015503407643936,-1.2432894223808462,-0.9567342304921396,-0.453986696814886,-0.5902628042662948,-0.32813655024702,-0.6502337089057113,-0.6725538900461301,-1.129105492968205,-1.1447486817107457,-0.8692396739614434,-1.1446698765034002,-1.145890057688251,-0.6726683525153003,-1.1291055068737261,-1.1447513015854913,-0.8692396739614435,-1.1446698765034002,-1.3162864013662317,-1.0325870030244577,-0.552309176121604,-1.0465684716495407,2.8249034073398183
391,0.32953259819607106,-0.7689717000918677,-0.5117321470373082,-0.23083520383733244,-0.937575283047957,-0.5736703726995481,-0.34995263360966883,-0.37772400122053656,0.3967748410958154,0.9114960669409164,-0.2704119461360305,-0.15969564309382067,-0.6253280826644937,-0.7832456918845144,-0.5136751013524964,-0.23020402012717261,-0.2685105000305609,-0.1597658494618824,-0.625325844331958,-0.7832468429196711,-0.5136751013524965,-0.23020402012717253,-0.34279109530400287,-0.4883479252230055,0.5163335865095158,-0.23898764252985732,2.8249034073398183
392,-0.6535306044115359,0.42024014248266417,-0.9026673909187586,-0.8661184009312148,0.7797716366013919,-0.7539121200316033,-0.8799411616632937,1.3431603037128272,0.8788164818540551,3.673720920457513,-0.7557008219995065,-0.3792317665671894,0.6316307209724483,-0.8840708858695887,-0.8183140447798876,-0.8791223759753093,-0.8380087407478785,-0.37912193442252934,0.6316318385114603,-0.8840691516618561,-0.8183140447798877,-0.8791223759753092,-1.1090537340541442,-0.6667644947827163,-0.0384239331141525,-1.0807300972468201,2.8249034073398183
393,0.8052083413933,-0.798003420386638,-1.918669425841429,-1.7489876092928636,-0.8953881795843103,-1.8468896925161007,-1.8526533668286735,0.5183626720130695,-0.4984453488837729,-0.3766439135282871,-1.4547270366909393,-1.516993667887677,-1.4937384644210763,-1.6354738347140503,-1.7669944782159372,-1.941668339884628,-1.7895992031753303,-1.5169543435588726,-1.4937345145174468,-1.635474817351191,-1.7669944782159375,-1.941668339884628,-1.779640584627518,-1.6915262129409072,-1.7355688568081644,-1.3745200773834223,2.0890816289811918
394,0.6783614765407038,-0.456880706923086,-0.6943117939050185,-0.9437703771924688,-0.38582485123127414,-0.709899600334241,-0.9520801051085731,-0.11412033601398085,-0.1541298911993159,-0.34700052485640165,-0.9834537240292966,-0.9093978406812997,-0.6688107198053812,-0.7656970030579984,-0.9591981207192817,-0.9108029759042638,-0.7252833157811517,-0.9093355152067762,-0.6688150722590736,-0.7656962672273789,-0.9591981207192818,-0.9108029759042638,-0.8090689216720379,-0.6285399046731447,-0.49252801708507343,-1.1176246528918818,2.0890816289811918
395,0.42466774683551595,-1.2349308108229322,-1.3677084914700444,-0.9842844517635579,-1.1778995690712029,-1.4591603523250518,-1.014329032113774,-0.34953996154436395,-0.7279889873400777,-0.5033020287627067,-0.8475027609715142,-0.8993775196928887,-1.2449556619221411,-1.3428893319155912,-1.2031532305710462,-1.1428900675186275,-1.2363052422969796,-0.8994434707891596,-1.2449590251353153,-1.3428913447603508,-1.2031532305710464,-1.1428900675186275,-1.2448387917161006,-1.3069604746523344,-0.8509240654208675,-1.2512649322284386,2.0890816289811918
396,1.7248481115746088,-1.267591496154549,-2.2483867881260586,-1.9031661708550636,-1.2793382223433423,-2.284919055218421,-2.008566567178148,-0.2674746695460966,-0.2918560742730987,0.7012974927220924,-1.5104389004182266,-1.5789374703614905,-1.872969178342674,-1.9293346057908014,-1.899950013085149,-2.1762471640776733,-2.0507464376815805,-1.5790269222794164,-1.8729683911379738,-1.9293326806000353,-1.8999500130851492,-2.1762471640776737,-2.0349230669040703,-1.9913651701176434,-1.8942580161971059,0.24966025001362627,2.0890816289811918
