,average_age_total,member_1,member_2,member_over2,household_1,household_2,household_over2,population_foreign_total,population_community6+_total,population_GroupFacility_total,population_total,population_under15,population_15to19,population_20s,population_30s,population_40s,population_50s,population_over60,drivers_total,drivers_15to19,drivers_20s,drivers_30s,drivers_40s,drivers_50s,drivers_60s,drivers_70s,drivers_over80,vehicle_total,parkinglot_rate
0,9.516400074749577e-05,0.0015413314650983292,0.0013135885573265444,0.0026678454910409074,0.0011183803506650146,0.0013298559078816718,0.002277429077717848,1.0167094096954677e-05,1.2200512916345613e-05,0.0,0.012773937023413857,0.0013512068054852765,0.0005815577823458075,0.0014335602676706096,0.0012810538562162894,0.0018026257833900644,0.0020466360417169768,0.0042772964865888325,0.9192008770492143,0.004284413452456701,0.0957882603250488,0.11802979537154686,0.18026257833900644,0.20466360417169766,0.22600433468120554,0.07788807445795039,0.01227981625030186,0.007318274330987977,0.0003414110197757381
1,2.1533149894838507e-05,0.000867643790383713,0.0011577358586491414,0.003123096459075355,0.0005570188897002235,0.0010956108785124435,0.0022575586002217,3.106249006834895e-05,0.0,6.475739454926985e-05,0.012987279745864947,0.0018026773897292679,0.000839213714727936,0.001685271706928559,0.0015626011953027063,0.002221494522769464,0.0022412376308637537,0.0026347835855432596,0.9161528702128238,0.006182488489366469,0.1126073178094726,0.14397095608661978,0.2221494522769464,0.22412376308637538,0.16005974649337698,0.04181484997794031,0.005244295992725828,0.005237451715253141,8.839647597416591e-05
2,2.315417547133895e-05,0.001947480649501454,0.001251205444116297,0.0023214673316988526,0.0012539553461912779,0.0011522089694169855,0.0018825829605319054,9.074676847436879e-05,2.529909908982403e-05,9.294669013435349e-05,0.012510954480332978,0.001484397140074675,0.0006091033096082632,0.0017420629645003827,0.0019340061293340476,0.002073976144950574,0.0020849757532504978,0.0025824330386145376,0.9174663286883185,0.0044872902059537876,0.11640170489269534,0.17819090455668557,0.20739761449505742,0.20849757532504976,0.15676311760801961,0.040303114791334665,0.005425006813522266,0.004709482293612242,9.234171167785771e-05
3,2.2555599851490216e-05,0.0050319588802176995,0.001257725602960145,0.0011029529857122147,0.0037615556567321268,0.001575722584472958,0.0011478528917397712,0.0003782156790085947,4.014579833052122e-05,1.5318791468225202e-05,0.011490678303734582,0.000552797078327506,0.0002540806446971146,0.0023361156989043434,0.0029055521541714734,0.0018995301420599252,0.0014064235270396415,0.0021361790585345767,0.9131890793457265,0.0018720619642548317,0.15609584389027203,0.2677048608884409,0.18995301420599253,0.14064235270396416,0.11116952615328742,0.03944535979649134,0.006306059743023189,0.005561777771342868,8.869052025913833e-05
4,2.501142929376797e-05,0.0037656742615779963,0.0012174167793454968,0.0016554076225596195,0.0026861111739214065,0.0015169722697243456,0.0016594792505841864,0.00018496824454460964,1.8031495537367607e-05,0.0,0.012024390048265544,0.0009641033501028003,0.0004019278521393876,0.0019982968683427875,0.002501142929376797,0.00210706750271336,0.0016484276888032192,0.002403423856787192,0.9168759549847026,0.002961236896152854,0.1335232244542071,0.2304442579509971,0.21070675027133598,0.16484276888032193,0.11923879002173378,0.04821505574462825,0.006943870765325629,0.005988201501845146,9.766090647496842e-05
5,2.247354003971285e-05,0.0003504940700494076,0.0006159845948708858,0.003258081089695158,0.0002037756221217486,0.0006678018244961304,0.0031957839709322233,2.212421040178985e-05,0.0,0.0,0.014134459366427689,0.0027404910095059163,0.0015125973322065798,0.0014025584962608355,0.0008506176683424992,0.0034036351054964067,0.0022557961368877572,0.001968763617727694,0.8971937889667725,0.011143615449743623,0.09371699082985539,0.07837210426802452,0.3403635105496407,0.22557961368877572,0.10821591745184941,0.03461914933423227,0.005182887394650875,0.008360622667623743,9.775407701211884e-05
6,1.4949819038036191e-05,0.0009468218724089588,0.0009002391029426141,0.002814104825203286,0.0006525198792688743,0.0009269610017062538,0.0027436890108936953,6.102703906831199e-05,9.027668501229584e-06,0.0,0.01322553435430134,0.00178206176214272,0.0011849717674713952,0.0016861879226596618,0.0011533749277170917,0.0025313582477447753,0.002357304799041069,0.0025302749275246277,0.9123798726498077,0.008729755440689008,0.11266855285600566,0.10626685256841373,0.25313582477447755,0.2357304799041069,0.14733624432768747,0.04321039362102533,0.00530176915740211,0.005441517465801144,6.062982165425789e-05
7,2.560252298591507e-05,0.00351893153767098,0.0010624732511845343,0.0018116773021974299,0.0026854341677363986,0.0013317086280388746,0.0017934347182516918,0.00020003936878429954,3.522705865383891e-05,0.0,0.012420997975881719,0.001030076938315379,0.0009806961507381226,0.0021032441180198285,0.002030588309546286,0.0024712410700286815,0.001975860557709072,0.0018292908315243493,0.913728883182556,0.00722469229713107,0.14053520522639626,0.18708965040130082,0.24712410700286816,0.19758605577090718,0.09249178776874815,0.03683177698644504,0.004845607728759306,0.006483036901543997,0.00010561827049963489
8,2.499053022968071e-05,0.0016487728137076095,0.0010014277535411813,0.00249182684555226,0.0011272836768665613,0.0011266814954152436,0.0024322108818718166,8.490758463578266e-05,2.0474169344798656e-05,3.1313435468515593e-05,0.0129122757698778,0.0017945007249264705,0.0006560766912105334,0.0017165182269808401,0.0018529123257042784,0.002269320799290404,0.0020522343860904066,0.0025707126156748667,0.9169115868487551,0.004833108328275118,0.11469509230665943,0.17071904362999304,0.2269320799290404,0.20522343860904063,0.14610427462593453,0.041183189455611176,0.00722135996420075,0.00540397634412421,0.0001011062656762263
9,1.6921582682971625e-05,0.0009077979502144923,0.0010034416784225927,0.0028496926199439174,0.0005754973047735277,0.0010937718661746876,0.002734020931555488,6.989349369053498e-05,7.765943743392775e-06,0.0,0.013501297564828955,0.0021374738318985535,0.0009582765845465454,0.001574647277443193,0.0013798855830365268,0.0025854461657279473,0.0022137027007481723,0.0026518654214280173,0.9138602911409134,0.007059651596625264,0.10521545823877271,0.12713667375696436,0.25854461657279476,0.22137027007481722,0.138003272723377,0.048537557130086076,0.00799279104747609,0.005564911792962771,6.862641865871826e-05
10,4.30793384808519e-05,0.0020242337437899145,0.0012161247736663479,0.0021955607680930727,0.0014191423458174892,0.0013666548759442673,0.002141092638979352,0.00021490152759413478,1.8816262784739912e-05,0.00017330768354365707,0.012675228809572954,0.0013701210296151404,0.0006773854602506368,0.0017761561739174227,0.0018430034232842618,0.002045525830625278,0.0020579049508783966,0.0029051319410018173,0.9196349403079607,0.004990270956437074,0.11868011136107612,0.16980587800645497,0.20455258306252783,0.20579049508783967,0.15493904974726994,0.05283111425144842,0.008045437834906686,0.008296981558450052,0.00016627634323988585
11,1.7496632530011892e-05,0.0025302822428017197,0.001076715848000732,0.0023579208751983768,0.0018391001339238308,0.0012004513385975902,0.0021134890113175655,0.0001272087675258929,0.0,0.0,0.012885206167294242,0.0018126163973399417,0.0007345980704908219,0.0016747707192188803,0.0020804928804917366,0.0027093730844550672,0.0018308511012173736,0.0020425039140804205,0.9118137767621068,0.005411799615052066,0.11190550937656639,0.19168754875572383,0.27093730844550673,0.18308511012173734,0.10206614999622744,0.040988575199153665,0.005731775252139379,0.005244648162842275,7.289539954811406e-05
12,1.2711552440294979e-05,0.0019119150337057577,0.0012489024064241852,0.002304235609021337,0.001490940119555941,0.0012903597477162744,0.002321306278965138,3.901867415726036e-05,0.0,0.00019326437043518024,0.013258271128584404,0.002071342897645189,0.000608295033443852,0.0015991559736639677,0.0019788259632176224,0.002362916036953154,0.001824123016851922,0.0028136122068086965,0.9173762786129285,0.004481355693639723,0.1068532488464412,0.18232024200085242,0.2362916036953154,0.1824123016851922,0.14877424172753967,0.046323701559639954,0.009919583404307887,0.005725380765794251,5.118152649221887e-05
13,4.1932796293529424e-05,0.0029660572513415407,0.001850547728320623,0.00147331446436725,0.0024957299415627647,0.0019857364731279475,0.0014903142466484106,5.747545437916195e-05,0.0,8.095134419600276e-06,0.011986870291823108,0.0006901102092709235,0.000264306138799949,0.0012114368658931811,0.0017716201677295202,0.0013085784789283845,0.0017319540090734787,0.00500886442212767,0.9178732922739128,0.001946879827913866,0.08094648711535099,0.16322948092337797,0.13085784789283844,0.1731954009073479,0.26170760065125726,0.09078936105614296,0.015200233899683436,0.004258850218151705,0.00013591730690508863
14,3.609173008489698e-05,0.002220779427746364,0.0012949127483162363,0.002182574217971811,0.001663958817202345,0.0014176571456770346,0.0021264857185155518,0.00023654714988074373,1.219315205570844e-05,0.0,0.012911328711789667,0.0013684780990523438,0.0007080156960348034,0.001741588551957022,0.001811902395478274,0.002247604362268922,0.0019679747417913423,0.0030657648652069585,0.920131833579926,0.00521623044943207,0.11637063034287763,0.1669405091787228,0.22476043622689224,0.1967974741791342,0.13573579443775377,0.06197210176154,0.012338657003573226,0.006402217706050645,0.00013648201534356314
